disease_category,age_group,state,gender,changepoint_year,slope1,slope2,change_in_slope,slope2_p_value,significance_label,mean_rate_last_5y,n_years_used,first_year
ischemic,85+ years,Texas,Female,2011,-0.5346270,-0.1086937,0.4259333,0.0000000,significant_decrease,3.825438891,27,1999
ischemic,85+ years,Indiana,Male,2009,-0.4827898,-0.1076645,0.3751253,0.0000010,significant_decrease,6.699025267,27,1999
ischemic,85+ years,Alaska,Total,2006,-0.1557613,-0.1075112,0.0482501,0.0000932,significant_decrease,2.84161642,27,1999
ischemic,85+ years,Arizona,Total,2014,-0.3159254,-0.1053950,0.2105304,0.0000334,significant_decrease,4.931420793,27,1999
ischemic,85+ years,North Dakota,Total,2016,-0.3147866,-0.1035427,0.2112439,0.0003100,significant_decrease,4.140948573,27,1999
ischemic,75-84 years,New Jersey,Male,2008,-0.2456204,-0.1030633,0.1425572,0.0000000,significant_decrease,1.68404121,27,1999
ischemic,85+ years,Georgia,Male,2011,-0.4031684,-0.1016991,0.3014693,0.0000000,significant_decrease,4.360618829,27,1999
ischemic,85+ years,Idaho,Female,2009,-0.3409529,-0.1001648,0.2407880,0.0000004,significant_decrease,3.369615572,27,1999
ischemic,85+ years,Colorado,Female,2011,-0.3137565,-0.0997848,0.2139718,0.0000000,significant_decrease,2.766970852,27,1999
ischemic,85+ years,Missouri,Male,2014,-0.4799552,-0.0981279,0.3818274,0.0001223,significant_decrease,6.505173862,27,1999
ischemic,85+ years,Texas,Total,2011,-0.5265024,-0.0976763,0.4288261,0.0000000,significant_decrease,4.623576085,27,1999
ischemic,85+ years,Virginia,Female,2011,-0.3506651,-0.0969894,0.2536756,0.0000001,significant_decrease,3.538758924,27,1999
ischemic,85+ years,Idaho,Male,2008,-0.4358012,-0.0945641,0.3412371,0.0004883,significant_decrease,6.257283644,27,1999
ischemic,85+ years,Wyoming,Total,2007,-0.4311103,-0.0944475,0.3366628,0.0000037,significant_decrease,3.965512023,27,1999
ischemic,85+ years,Colorado,Male,2011,-0.2938016,-0.0939855,0.1998160,0.0001196,significant_decrease,5.156038842,27,1999
ischemic,85+ years,Texas,Male,2011,-0.5391223,-0.0938058,0.4453165,0.0000047,significant_decrease,5.989572399,27,1999
ischemic,85+ years,Georgia,Female,2011,-0.3737148,-0.0918773,0.2818375,0.0000000,significant_decrease,2.754057935,27,1999
ischemic,85+ years,Arkansas,Total,2014,-0.2821806,-0.0910142,0.1911664,0.0063939,significant_decrease,5.58740746,27,1999
ischemic,75-84 years,Rhode Island,Male,2011,-0.1976895,-0.0908031,0.1068864,0.0000000,significant_decrease,2.075254418,27,1999
ischemic,85+ years,Colorado,Total,2011,-0.2994271,-0.0903147,0.2091124,0.0000000,significant_decrease,3.659555697,27,1999
ischemic,75-84 years,New York,Male,2011,-0.2352616,-0.0891759,0.1460857,0.0000000,significant_decrease,2.261848319,27,1999
ischemic,85+ years,Arizona,Female,2015,-0.3105025,-0.0885088,0.2219937,0.0004399,significant_decrease,4.184384426,27,1999
ischemic,85+ years,Georgia,Total,2011,-0.3741857,-0.0871942,0.2869915,0.0000000,significant_decrease,3.323985623,27,1999
ischemic,85+ years,Wisconsin,Female,2009,-0.4256819,-0.0861392,0.3395426,0.0000000,significant_decrease,4.019867833,27,1999
ischemic,85+ years,Idaho,Total,2009,-0.3552306,-0.0847201,0.2705106,0.0000070,significant_decrease,4.535845449,27,1999
ischemic,85+ years,Nebraska,Male,2009,-0.3715347,-0.0805041,0.2910306,0.0071057,significant_decrease,6.115252525,27,1999
ischemic,85+ years,Alabama,Male,2013,-0.2982664,-0.0804794,0.2177870,0.0005397,significant_decrease,5.093090404,27,1999
ischemic,85+ years,New Mexico,Female,2011,-0.3169944,-0.0796713,0.2373232,0.0024892,significant_decrease,4.582622726,27,1999
ischemic,85+ years,Alabama,Female,2015,-0.2830979,-0.0792713,0.2038266,0.0000156,significant_decrease,3.084659877,27,1999
ischemic,75-84 years,New Jersey,Total,2009,-0.1818588,-0.0778927,0.1039661,0.0000000,significant_decrease,1.222379929,27,1999
ischemic,85+ years,Wyoming,Female,2009,-0.3663502,-0.0765384,0.2898118,0.0007254,significant_decrease,3.084662542,27,1999
ischemic,85+ years,Michigan,Female,2012,-0.4414563,-0.0764397,0.3650166,0.0000768,significant_decrease,5.894152311,27,1999
ischemic,75-84 years,Illinois,Male,2008,-0.2625881,-0.0757407,0.1868473,0.0000000,significant_decrease,1.748168597,27,1999
ischemic,85+ years,Vermont,Female,2011,-0.3727234,-0.0747568,0.2979666,0.0003208,significant_decrease,4.727784167,27,1999
ischemic,75-84 years,Pennsylvania,Male,2009,-0.2139664,-0.0711067,0.1428598,0.0000000,significant_decrease,2.015842555,27,1999
ischemic,85+ years,Virginia,Total,2012,-0.3330971,-0.0703568,0.2627404,0.0000950,significant_decrease,4.302199071,27,1999
ischemic,75-84 years,New York,Total,2012,-0.1822015,-0.0701661,0.1120354,0.0000000,significant_decrease,1.698806504,27,1999
